French,English
partie,part
chercher,search
aide,help
genre,kind
laisser,let
mettre,to put
aucun,no
laisse,leash
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
savais,knew
voici,here is
affaire,case
donner,give
type,type
donné,given
train,train
façon,way
dont,whose
premier,first
perdu,lost
main,hand
pouvoir,power
vieux,old
sois,be
matin,morning
enfant,child
venu,came
pardon,sorry
venez,come
vers,towards
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
boulot,job
arrêter,Stop
terre,Earth
loin,far
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
bureau,office
